t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
321,158,640,126512,0.246875,26333.333333333332,6576666.666666664,2020-11-16
322,147,569,127081,0.2583479789103691,24500.0,6601166.666666664,2020-11-17
323,165,598,127679,0.27591973244147155,27500.0,6628666.666666664,2020-11-18
324,157,603,128282,0.2603648424543947,26166.666666666668,6654833.333333331,2020-11-19
325,249,945,129227,0.2634920634920635,41500.0,6696333.333333331,2020-11-20
326,162,643,129870,0.25194401244167963,27000.0,6723333.333333331,2020-11-21
327,145,627,130497,0.23125996810207336,24166.666666666668,6747499.999999998,2020-11-22
328,168,816,131313,0.20588235294117646,28000.0,6775499.999999998,2020-11-23
329,155,655,131968,0.2366412213740458,25833.333333333332,6801333.333333331,2020-11-24
330,229,818,132786,0.27995110024449876,38166.666666666664,6839499.999999998,2020-11-25
331,163,681,133467,0.2393538913362702,27166.666666666668,6866666.666666665,2020-11-26
332,203,745,134212,0.27248322147651005,33833.333333333336,6900499.999999998,2020-11-27
333,168,629,134841,0.2670906200317965,28000.0,6928499.999999998,2020-11-28
334,147,583,135424,0.2521440823327616,24500.0,6952999.999999998,2020-11-29
335,217,817,136241,0.26560587515299877,36166.666666666664,6989166.666666665,2020-11-30
336,325,1184,137425,0.27449324324324326,54166.666666666664,7043333.333333332,2020-12-01
337,223,759,138184,0.2938076416337286,37166.666666666664,7080499.999999999,2020-12-02
338,225,735,138919,0.30612244897959184,37500.0,7117999.999999999,2020-12-03
339,202,766,139685,0.26370757180156656,33666.666666666664,7151666.666666666,2020-12-04
340,213,802,140487,0.2655860349127182,35500.0,7187166.666666666,2020-12-05
341,176,694,141181,0.25360230547550433,29333.333333333332,7216499.999999999,2020-12-06
342,213,800,141981,0.26625,35500.0,7251999.999999999,2020-12-07
343,201,784,142765,0.25637755102040816,33500.0,7285499.999999999,2020-12-08
344,207,756,143521,0.27380952380952384,34500.0,7319999.999999999,2020-12-09
345,278,1017,144538,0.27335299901671584,46333.333333333336,7366333.333333332,2020-12-10
346,185,719,145257,0.2573018080667594,30833.333333333332,7397166.666666665,2020-12-11
347,201,767,146024,0.2620599739243807,33500.0,7430666.666666665,2020-12-12
348,185,719,146743,0.2573018080667594,30833.333333333332,7461499.999999998,2020-12-13
349,193,793,147536,0.24337957124842372,32166.666666666664,7493666.666666665,2020-12-14
350,236,799,148335,0.295369211514393,39333.333333333336,7532999.999999998,2020-12-15
351,184,684,149019,0.26900584795321636,30666.666666666664,7563666.666666665,2020-12-16
352,186,741,149760,0.25101214574898784,31000.0,7594666.666666665,2020-12-17
353,213,821,150581,0.25943970767356883,35500.0,7630166.666666665,2020-12-18
354,157,689,151270,0.22786647314949202,26166.666666666668,7656333.333333332,2020-12-19
355,241,987,152257,0.24417426545086118,40166.666666666664,7696499.999999999,2020-12-20
356,200,791,153048,0.2528445006321112,33333.333333333336,7729833.333333332,2020-12-21
357,179,730,153778,0.2452054794520548,29833.333333333332,7759666.666666665,2020-12-22
358,172,856,154634,0.20093457943925233,28666.666666666668,7788333.333333332,2020-12-23
359,184,840,155474,0.21904761904761905,30666.666666666664,7818999.999999999,2020-12-24
360,218,1083,156557,0.2012927054478301,36333.333333333336,7855333.333333332,2020-12-25
361,187,919,157476,0.20348204570184983,31166.666666666664,7886499.999999999,2020-12-26
362,185,954,158430,0.19392033542976939,30833.333333333332,7917333.333333332,2020-12-27
363,237,1055,159485,0.22464454976303316,39500.0,7956833.333333332,2020-12-28
364,175,825,160310,0.21212121212121213,29166.666666666664,7985999.999999999,2020-12-29
365,175,954,161264,0.18343815513626835,29166.666666666664,8015166.666666666,2020-12-30
366,207,918,162182,0.22549019607843138,34500.0,8049666.666666666,2020-12-31
367,288,1648,163830,0.17475728155339806,48000.0,8097666.666666666,2021-01-01
368,209,1294,165124,0.1615146831530139,34833.333333333336,8132499.999999999,2021-01-02
369,242,1330,166454,0.18195488721804512,40333.333333333336,8172833.333333332,2021-01-03
370,240,1491,167945,0.16096579476861167,40000.0,8212833.333333332,2021-01-04
371,245,1386,169331,0.17676767676767677,40833.333333333336,8253666.666666665,2021-01-05
372,209,1217,170548,0.17173377156943304,34833.333333333336,8288499.999999998,2021-01-06
373,233,1196,171744,0.1948160535117057,38833.333333333336,8327333.333333331,2021-01-07
374,207,1296,173040,0.1597222222222222,34500.0,8361833.333333331,2021-01-08
375,184,1156,174196,0.15916955017301038,30666.666666666664,8392499.999999998,2021-01-09
376,266,1484,175680,0.1792452830188679,44333.333333333336,8436833.333333332,2021-01-10
377,181,1145,176825,0.15807860262008733,30166.666666666664,8466999.999999998,2021-01-11
378,176,1182,178007,0.14890016920473773,29333.333333333332,8496333.333333332,2021-01-12
379,173,1078,179085,0.16048237476808905,28833.333333333332,8525166.666666666,2021-01-13
380,180,1070,180155,0.16822429906542055,30000.0,8555166.666666666,2021-01-14
381,213,1330,181485,0.16015037593984963,35500.0,8590666.666666666,2021-01-15
382,151,1011,182496,0.1493570722057369,25166.666666666668,8615833.333333332,2021-01-16
383,161,982,183478,0.16395112016293278,26833.333333333332,8642666.666666666,2021-01-17
384,176,1278,184756,0.13771517996870108,29333.333333333332,8672000.0,2021-01-18
385,131,1005,185761,0.13034825870646766,21833.333333333332,8693833.333333334,2021-01-19
386,207,1427,187188,0.14505956552207427,34500.0,8728333.333333334,2021-01-20
387,147,1055,188243,0.13933649289099526,24500.0,8752833.333333334,2021-01-21
388,153,1114,189357,0.13734290843806105,25500.0,8778333.333333334,2021-01-22
389,142,993,190350,0.14300100704934543,23666.666666666668,8802000.0,2021-01-23
390,124,953,191303,0.13011542497376705,20666.666666666668,8822666.666666666,2021-01-24
